Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: INITIAL 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_OTHER
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_FIFO
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: main thread running on CPU=2, CPUs =
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  0
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  1
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  2
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  3
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: starter thread running on CPU=3
Sep 10 21:09:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=86, sum[0...86]=3741, running on CPU=3, start=1726016998.786621, stop=1726016999.186568
Sep 10 21:09:59 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=87, sum[0...87]=3828, running on CPU=3, start=1726016999.186711, stop=1726016999.639153
Sep 10 21:10:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=88, sum[0...88]=3916, running on CPU=3, start=1726016999.639297, stop=1726017000.048671
Sep 10 21:10:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=89, sum[0...89]=4005, running on CPU=3, start=1726017000.048828, stop=1726017000.514735
Sep 10 21:10:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=90, sum[0...90]=4095, running on CPU=3, start=1726017000.514880, stop=1726017000.932593
Sep 10 21:10:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=91, sum[0...91]=4186, running on CPU=3, start=1726017000.932744, stop=1726017001.354954
Sep 10 21:10:01 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=92, sum[0...92]=4278, running on CPU=3, start=1726017001.355109, stop=1726017001.830407
Sep 10 21:10:02 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=93, sum[0...93]=4371, running on CPU=3, start=1726017001.830556, stop=1726017002.262211
Sep 10 21:10:02 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=94, sum[0...94]=4465, running on CPU=3, start=1726017002.262358, stop=1726017002.750004
Sep 10 21:10:03 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=95, sum[0...95]=4560, running on CPU=3, start=1726017002.750156, stop=1726017003.190264
